icsd-id,mp-id,structure,b_exp
ICSD_18017,mp-22867,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[4.2326573, -1e-08, 2.44372603], [1.41088441, 3.99058775, 2.44372603], [0.0, -0.0, 4.88745206]], ""pbc"": [true, true, true], ""a"": 4.887451762313654, ""b"": 4.887451515721733, ""c"": 4.88745206, ""alpha"": 59.99999631616182, ""beta"": 59.99999798516986, ""gamma"": 60.000013002551405, ""volume"": 82.55292826433187}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Rb"", ""occu"": 1}], ""abc"": [0.0, -0.0, -0.0], ""properties"": {""magmom"": -0.0}, ""label"": ""Rb"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""Br"", ""occu"": 1}], ""abc"": [0.5, 0.5, 0.5], ""properties"": {""magmom"": -0.0}, ""label"": ""Br"", ""xyz"": [2.8217708549999996, 1.99529387, 4.88745206]}], ""@version"": null}",13.82
ICSD_164970,mp-7140,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[3.0735135, 0.0, 0.0], [-1.53675725, 2.66174147, -0.0], [0.0, -0.0, 5.04524771]], ""pbc"": [true, true, true], ""a"": 3.0735135, ""b"": 3.073514356326536, ""c"": 5.04524771, ""alpha"": 90.0, ""beta"": 90.0, ""gamma"": 120.00000154633405, ""volume"": 41.27465862347238}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Si"", ""occu"": 1}], ""abc"": [0.333333, 0.666667, 0.4996024], ""properties"": {""magmom"": -0.0}, ""label"": ""Si"", ""xyz"": [-1.8700902501858019e-06, 1.77449520058049, 2.520617864510504]}, {""species"": [{""element"": ""Si"", ""occu"": 1}], ""abc"": [0.666667, 0.333333, 0.9996024], ""properties"": {""magmom"": -0.0}, ""label"": ""Si"", ""xyz"": [1.5367581200902498, 0.8872462694195099, 5.043241719510504]}, {""species"": [{""element"": ""C"", ""occu"": 1}], ""abc"": [0.333333, 0.666667, 0.8753976], ""properties"": {""magmom"": -0.0}, ""label"": ""C"", ""xyz"": [-1.8700902501858019e-06, 1.77449520058049, 4.4165977367394955]}, {""species"": [{""element"": ""C"", ""occu"": 1}], ""abc"": [0.666667, 0.333333, 0.3753976], ""properties"": {""magmom"": -0.0}, ""label"": ""C"", ""xyz"": [1.5367581200902498, 0.8872462694195099, 1.893973881739496]}], ""@version"": null}",219.0
ICSD_164973,mp-8062,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[2.66626621, 0.0, 1.5393685000000001], [0.88875474, 2.51377858, 1.5393685000000001], [0.0, 0.0, 3.078738]], ""pbc"": [true, true, true], ""a"": 3.07873852111218, ""b"": 3.0787372599706417, ""c"": 3.078738, ""alpha"": 60.00000279327488, ""beta"": 60.000016343700956, ""gamma"": 60.00000969010736, ""volume"": 20.634942460365664}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Si"", ""occu"": 1}], ""abc"": [0.25, 0.25, 0.25], ""properties"": {""magmom"": 0.0}, ""label"": ""Si"", ""xyz"": [0.8887552375, 0.628444645, 1.53936875]}, {""species"": [{""element"": ""C"", ""occu"": 1}], ""abc"": [0.0, -0.0, -0.0], ""properties"": {""magmom"": -0.0}, ""label"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}], ""@version"": null}",211.0
ICSD_182729,mp-66,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[2.18050236, 0.0, 1.25891346], [0.72683412, 2.05579703, 1.25891346], [-0.0, 0.0, 2.51782692]], ""pbc"": [true, true, true], ""a"": 2.5178271667719256, ""b"": 2.5178269134954783, ""c"": 2.51782692, ""alpha"": 59.99999991454223, ""beta"": 60.00000324214051, ""gamma"": 59.9999988338285, ""volume"": 11.286587893379405}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""C"", ""occu"": 1}], ""abc"": [0.875, 0.875, 0.875], ""properties"": {""magmom"": 0.0}, ""label"": ""C"", ""xyz"": [2.5439194200000004, 1.7988224012499998, 4.40619711]}, {""species"": [{""element"": ""C"", ""occu"": 1}], ""abc"": [0.125, 0.125, 0.125], ""properties"": {""magmom"": 0.0}, ""label"": ""C"", ""xyz"": [0.36341706, 0.25697462875, 0.62945673]}], ""@version"": null}",442.0
ICSD_163628,mp-2605,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[2.94374275, 0.0, 1.69957006], [0.98124758, 2.77538761, 1.69957006], [0.0, -0.0, 3.39914011]], ""pbc"": [true, true, true], ""a"": 3.399141033706305, ""b"": 3.399141301541578, ""c"": 3.39914011, ""alpha"": 60.00001149851537, ""beta"": 60.00000889199937, ""gamma"": 60.00000859070172, ""volume"": 27.771067003632275}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Ca"", ""occu"": 1}], ""abc"": [-0.0, -0.0, 0.0], ""properties"": {""magmom"": 0.0}, ""label"": ""Ca"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""O"", ""occu"": 1}], ""abc"": [0.5, 0.5, 0.5], ""properties"": {""magmom"": -0.0}, ""label"": ""O"", ""xyz"": [1.962495165, 1.387693805, 3.399140115]}], ""@version"": null}",112.5
ICSD_154186,mp-672,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[4.16883814, 0.0, 0.0], [-2.08441907, 3.61031964, 0.0], [0.0, 0.0, 6.77961741]], ""pbc"": [true, true, true], ""a"": 4.16883814, ""b"": 4.16883805902189, ""c"": 6.77961741, ""alpha"": 90.0, ""beta"": 90.0, ""gamma"": 120.00000064256137, ""volume"": 102.03892478274858}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Cd"", ""occu"": 1}], ""abc"": [0.666667, 0.333333, 0.50022437], ""properties"": {""magmom"": -0.0}, ""label"": ""Cd"", ""xyz"": [2.0844211544190703, 1.20343867656012, 3.3913298477582816]}, {""species"": [{""element"": ""Cd"", ""occu"": 1}], ""abc"": [0.333333, 0.666667, 0.00022437], ""properties"": {""magmom"": -0.0}, ""label"": ""Cd"", ""xyz"": [-2.08441907002946e-06, 2.40688096343988, 0.0015211427582817]}, {""species"": [{""element"": ""S"", ""occu"": 1}], ""abc"": [0.666667, 0.333333, 0.87677563], ""properties"": {""magmom"": 0.0}, ""label"": ""S"", ""xyz"": [2.0844211544190703, 1.20343867656012, 5.944203325811719]}, {""species"": [{""element"": ""S"", ""occu"": 1}], ""abc"": [0.333333, 0.666667, 0.37677563000000003], ""properties"": {""magmom"": 0.0}, ""label"": ""S"", ""xyz"": [-2.08441907002946e-06, 2.40688096343988, 2.5543946208117188]}], ""@version"": null}",60.7
ICSD_154214,mp-23193,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[3.84799078, 0.0, 2.22163859], [1.28266393, 3.62792032, 2.22163859], [0.0, 0.0, 4.44327718]], ""pbc"": [true, true, true], ""a"": 4.4432770640082975, ""b"": 4.4432770147909, ""c"": 4.44327718, ""alpha"": 59.99999877003548, ""beta"": 59.999999136453894, ""gamma"": 59.999994716588446, ""volume"": 62.02905560334427}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""K"", ""occu"": 1}], ""abc"": [-0.0, 0.0, -0.0], ""properties"": {""magmom"": 0.0}, ""label"": ""K"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""Cl"", ""occu"": 1}], ""abc"": [0.5, 0.5, 0.5], ""properties"": {""magmom"": -0.0}, ""label"": ""Cl"", ""xyz"": [2.565327355, 1.81396016, 4.44327718]}], ""@version"": null}",18.19
ICSD_100633,mp-22862,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[3.422015, 0.0, 1.9757019999999992], [1.140671, 3.226306, 1.9757019999999992], [0.0, 0.0, 3.951402]], ""pbc"": [true, true, true], ""a"": 3.9514029221314546, ""b"": 3.9514021724801687, ""c"": 3.951402, ""alpha"": 59.99998470065274, ""beta"": 59.999990976469185, ""gamma"": 59.99999737523848, ""volume"": 43.625325465502776}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Na"", ""occu"": 1}], ""abc"": [0.0, 0.0, 0.0], ""properties"": {""magmom"": -0.0}, ""label"": ""Na"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""Cl"", ""occu"": 1}], ""abc"": [0.5, 0.5, 0.5], ""properties"": {""magmom"": 0.0}, ""label"": ""Cl"", ""xyz"": [2.281343, 1.613153, 3.951402999999999]}], ""@version"": null}",25.1
ICSD_162798,mp-23295,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[4.05232212, -0.0, 2.3396093000000002], [1.3507737, 3.82056648, 2.3396093000000002], [0.0, -0.0, 4.6792186000000004]], ""pbc"": [true, true, true], ""a"": 4.6792185502376125, ""b"": 4.679218897781741, ""c"": 4.6792186000000004, ""alpha"": 60.00000210516772, ""beta"": 59.99999964820482, ""gamma"": 60.00000638564133, ""volume"": 72.44443938610806}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""Rb"", ""occu"": 1}], ""abc"": [0.0, -0.0, -0.0], ""properties"": {""magmom"": -0.0}, ""label"": ""Rb"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""Cl"", ""occu"": 1}], ""abc"": [0.5, 0.5, 0.5], ""properties"": {""magmom"": -0.0}, ""label"": ""Cl"", ""xyz"": [2.7015479100000004, 1.91028324, 4.6792186000000004]}], ""@version"": null}",16.2
ICSD_52241,mp-463,"{""@module"": ""pymatgen.core.structure"", ""@class"": ""Structure"", ""charge"": 0, ""lattice"": {""matrix"": [[3.25097969, -0.0, 1.8769530300000001], [1.08365856, 3.06505243, 1.8769530300000001], [-0.0, -0.0, 3.75390707]], ""pbc"": [true, true, true], ""a"": 3.753907513727353, ""b"": 3.7539066251222017, ""c"": 3.75390707, ""alpha"": 60.000004979903174, ""beta"": 60.00001281036106, ""gamma"": 60.00002111128908, ""volume"": 37.40551869412881}, ""properties"": {}, ""sites"": [{""species"": [{""element"": ""K"", ""occu"": 1}], ""abc"": [-0.0, 0.0, -0.0], ""properties"": {""magmom"": -0.0}, ""label"": ""K"", ""xyz"": [0.0, 0.0, 0.0]}, {""species"": [{""element"": ""F"", ""occu"": 1}], ""abc"": [0.5, 0.5, 0.5], ""properties"": {""magmom"": -0.0}, ""label"": ""F"", ""xyz"": [2.1673191249999997, 1.532526215, 3.7539065650000003]}], ""@version"": null}",31.6
